field,value,n,p_rp,p_sft,gap_pp
a_type,person,1272,0.0181,0.0189,-0.08
a_type,date,652,0.0353,0.0307,0.46
a_type,other,573,0.0349,0.0506,-1.57
a_type,place,441,0.0454,0.0272,1.81
a_type,number,272,0.0441,0.0294,1.47
a_type,organization,147,0.0816,0.0952,-1.36
a_type,title,147,0.0068,0.0,0.68
a_type,event,28,0.0357,0.0357,0.0
q_type,who,1371,0.0241,0.0241,0.0
q_type,what,756,0.0357,0.0423,-0.66
q_type,when,663,0.0332,0.0317,0.15
q_type,where,374,0.0321,0.0214,1.07
q_type,how,176,0.0398,0.0227,1.7
q_type,which,100,0.07,0.06,1.0
q_type,other,80,0.05,0.05,0.0
q_type,why,12,0.0,0.0,0.0
specificity,single,2732,0.03,0.0278,0.22
specificity,multiple_valid,800,0.0375,0.04,-0.25
topic,pop_culture,1350,0.0163,0.02,-0.37
topic,history,485,0.0206,0.0247,-0.41
topic,science,441,0.0544,0.0363,1.81
topic,sports,439,0.0524,0.0547,-0.23
topic,politics,265,0.0415,0.034,0.75
topic,geography,205,0.0585,0.0488,0.98
topic,other,203,0.0345,0.0443,-0.99
topic,literature,144,0.0208,0.0069,1.39
