field,value,n,rp_only,sft_only,both,neither,rp_only_frac,sft_only_frac
a_type,person,1272,14,9,11,1238,0.011,0.0071
a_type,date,652,4,5,1,642,0.0061,0.0077
a_type,other,573,12,14,10,537,0.0209,0.0244
a_type,place,441,5,7,7,422,0.0113,0.0159
a_type,number,272,6,7,1,258,0.0221,0.0257
a_type,organization,147,12,4,3,128,0.0816,0.0272
a_type,title,147,1,1,1,144,0.0068,0.0068
a_type,event,28,0,2,0,26,0.0,0.0714
q_type,who,1371,23,14,14,1320,0.0168,0.0102
q_type,what,756,14,16,12,714,0.0185,0.0212
q_type,when,663,5,6,1,651,0.0075,0.009
q_type,where,374,2,4,3,365,0.0053,0.0107
q_type,how,176,5,4,1,166,0.0284,0.0227
q_type,which,100,3,1,2,94,0.03,0.01
q_type,other,80,2,4,1,73,0.025,0.05
q_type,why,12,0,0,0,12,0.0,0.0
specificity,single,2732,34,32,20,2646,0.0124,0.0117
specificity,multiple_valid,800,20,17,14,749,0.025,0.0213
topic,pop_culture,1350,9,8,9,1324,0.0067,0.0059
topic,history,485,9,5,2,469,0.0186,0.0103
topic,science,441,13,7,7,414,0.0295,0.0159
topic,sports,439,8,13,6,412,0.0182,0.0296
topic,politics,265,7,3,5,250,0.0264,0.0113
topic,geography,205,6,6,3,190,0.0293,0.0293
topic,other,203,1,5,2,195,0.0049,0.0246
topic,literature,144,1,2,0,141,0.0069,0.0139
