field,value,n,p_rp,p_sft,gap_pp
a_type,person,1272,0.0197,0.0157,0.39
a_type,date,652,0.0077,0.0092,-0.15
a_type,other,573,0.0384,0.0419,-0.35
a_type,place,441,0.0272,0.0317,-0.45
a_type,number,272,0.0257,0.0294,-0.37
a_type,organization,147,0.102,0.0476,5.44
a_type,title,147,0.0136,0.0136,0.0
a_type,event,28,0.0,0.0714,-7.14
q_type,who,1371,0.027,0.0204,0.66
q_type,what,756,0.0344,0.037,-0.26
q_type,when,663,0.009,0.0106,-0.15
q_type,where,374,0.0134,0.0187,-0.53
q_type,how,176,0.0341,0.0284,0.57
q_type,which,100,0.05,0.03,2.0
q_type,other,80,0.0375,0.0625,-2.5
q_type,why,12,0.0,0.0,0.0
specificity,single,2732,0.0198,0.019,0.07
specificity,multiple_valid,800,0.0425,0.0387,0.38
topic,pop_culture,1350,0.0133,0.0126,0.07
topic,history,485,0.0227,0.0144,0.82
topic,science,441,0.0454,0.0317,1.36
topic,sports,439,0.0319,0.0433,-1.14
topic,politics,265,0.0453,0.0302,1.51
topic,geography,205,0.0439,0.0439,0.0
topic,other,203,0.0148,0.0345,-1.97
topic,literature,144,0.0069,0.0139,-0.69
