run,method,split,n,n_correct,overall_acc,mean_sim_correct,mean_sim_wrong,median_sim_correct,median_sim_wrong,n_above_0.5,p_above_0.5,p_below_0.5,lift_at_0.5,n_above_0.6,p_above_0.6,p_below_0.6,lift_at_0.6,n_above_0.7,p_above_0.7,p_below_0.7,lift_at_0.7,n_above_0.8,p_above_0.8,p_below_0.8,lift_at_0.8,n_above_0.9,p_above_0.9,p_below_0.9,lift_at_0.9
set2_stage3_r8_retrieval_seed1_held,retrieval_practice,indist,2000,48,0.024,0.6335,0.6166,0.6151,0.596,1489,0.0208,0.0333,-0.0124,978,0.0245,0.0235,0.0011,586,0.0307,0.0212,0.0095,294,0.0408,0.0211,0.0197,119,0.042,0.0229,0.0192
set2_stage3_r8_retrieval_seed2,retrieval_practice,indist,2000,50,0.025,0.6524,0.6161,0.6249,0.5952,1489,0.0269,0.0196,0.0073,978,0.0286,0.0215,0.0071,586,0.0307,0.0226,0.0081,294,0.0408,0.0223,0.0185,119,0.0588,0.0229,0.036
set2_stage3_r8_standard_mastered,standard_ft_mastered,indist,2000,42,0.021,0.6191,0.6169,0.5881,0.5963,1489,0.0188,0.0274,-0.0086,978,0.0194,0.0225,-0.0031,586,0.0239,0.0198,0.0041,294,0.0272,0.0199,0.0073,119,0.0336,0.0202,0.0134
set2_stage3_r8_standard_random,standard_ft,indist,2000,60,0.03,0.6317,0.6165,0.6,0.5957,1489,0.0309,0.0274,0.0035,978,0.0307,0.0294,0.0013,586,0.029,0.0304,-0.0014,294,0.0408,0.0281,0.0127,119,0.0588,0.0282,0.0306
set2_stage3_r8_standard_seed1_held,standard_ft,indist,2000,47,0.0235,0.6657,0.6158,0.6608,0.5951,1489,0.0248,0.0196,0.0053,978,0.0286,0.0186,0.01,586,0.0307,0.0205,0.0102,294,0.0408,0.0205,0.0203,119,0.0504,0.0218,0.0286
set2_stage3_r8_standard_seed2,standard_ft,indist,2000,54,0.027,0.6151,0.617,0.5983,0.596,1489,0.0289,0.0215,0.0074,978,0.0256,0.0284,-0.0028,586,0.0239,0.0283,-0.0044,294,0.0238,0.0275,-0.0037,119,0.0504,0.0255,0.0249
set1_quartile_1_easy_retrievalpractice,retrieval_practice,ood,3532,172,0.0487,0.6742,0.5938,0.6464,0.5699,2498,0.0556,0.0319,0.0237,1554,0.0701,0.0319,0.0383,856,0.0829,0.0377,0.0452,455,0.1121,0.0393,0.0728,178,0.1404,0.0438,0.0966
set1_quartile_1_easy_standardft,standard_ft,ood,3532,158,0.0447,0.6644,0.5946,0.6503,0.5712,2498,0.0512,0.029,0.0222,1554,0.0592,0.0334,0.0258,856,0.0713,0.0362,0.035,455,0.0945,0.0374,0.0571,178,0.1067,0.0414,0.0653
set1_quartile_2_retrievalpractice,retrieval_practice,ood,3532,130,0.0368,0.6648,0.5951,0.6494,0.5713,2498,0.0412,0.0261,0.0151,1554,0.0502,0.0263,0.0239,856,0.0584,0.0299,0.0285,455,0.0769,0.0309,0.046,178,0.073,0.0349,0.0381
set1_quartile_2_standardft,standard_ft,ood,3532,112,0.0317,0.6248,0.5968,0.5908,0.5728,2498,0.0344,0.0251,0.0093,1554,0.0341,0.0298,0.0043,856,0.0444,0.0277,0.0167,455,0.044,0.0299,0.0141,178,0.0393,0.0313,0.008
set1_quartile_3_retrievalpractice,retrieval_practice,ood,3532,88,0.0249,0.6136,0.5973,0.5844,0.5746,2498,0.0272,0.0193,0.0079,1554,0.0245,0.0253,-0.0008,856,0.0304,0.0232,0.0072,455,0.0374,0.0231,0.0143,178,0.0281,0.0247,0.0033
set1_quartile_3_standardft,standard_ft,ood,3532,83,0.0235,0.6471,0.5965,0.6082,0.5736,2498,0.0252,0.0193,0.0059,1554,0.027,0.0207,0.0063,856,0.0374,0.0191,0.0183,455,0.0462,0.0201,0.026,178,0.0506,0.0221,0.0285
set1_quartile_4_hard_retrievalpractice,retrieval_practice,ood,3532,91,0.0258,0.5701,0.5984,0.5374,0.5759,2498,0.0228,0.0329,-0.0101,1554,0.0199,0.0303,-0.0104,856,0.021,0.0273,-0.0063,455,0.0242,0.026,-0.0018,178,0.0337,0.0253,0.0084
set1_quartile_4_hard_standardft,standard_ft,ood,3532,68,0.0193,0.6195,0.5972,0.5971,0.5738,2498,0.0212,0.0145,0.0067,1554,0.0187,0.0197,-0.0011,856,0.0222,0.0183,0.0039,455,0.022,0.0188,0.0031,178,0.0281,0.0188,0.0093
