field,value,n,rp_only,sft_only,both,neither,rp_only_frac,sft_only_frac
a_type,person,1272,13,14,10,1235,0.0102,0.011
a_type,date,652,16,13,7,616,0.0245,0.0199
a_type,other,573,11,20,9,533,0.0192,0.0349
a_type,place,441,14,6,6,415,0.0317,0.0136
a_type,number,272,8,4,4,256,0.0294,0.0147
a_type,organization,147,6,8,6,127,0.0408,0.0544
a_type,title,147,1,0,0,146,0.0068,0.0
a_type,event,28,0,0,1,27,0.0,0.0
q_type,who,1371,20,20,13,1318,0.0146,0.0146
q_type,what,756,17,22,10,707,0.0225,0.0291
q_type,when,663,14,13,8,628,0.0211,0.0196
q_type,where,374,8,4,4,358,0.0214,0.0107
q_type,how,176,5,2,2,167,0.0284,0.0114
q_type,which,100,3,2,4,91,0.03,0.02
q_type,other,80,2,2,2,74,0.025,0.025
q_type,why,12,0,0,0,12,0.0,0.0
specificity,single,2732,48,42,34,2608,0.0176,0.0154
specificity,multiple_valid,800,21,23,9,747,0.0262,0.0288
topic,pop_culture,1350,10,15,12,1313,0.0074,0.0111
topic,history,485,6,8,4,467,0.0124,0.0165
topic,science,441,16,8,8,409,0.0363,0.0181
topic,sports,439,15,16,8,400,0.0342,0.0364
topic,politics,265,8,6,3,248,0.0302,0.0226
topic,geography,205,9,7,3,186,0.0439,0.0341
topic,other,203,3,5,4,191,0.0148,0.0246
topic,literature,144,2,0,1,141,0.0139,0.0
