field,value,n,rp_only,sft_only,both,neither,rp_only_frac,sft_only_frac
a_type,person,820,5,4,11,800,0.0061,0.0049
a_type,date,427,9,7,5,406,0.0211,0.0164
a_type,other,234,3,8,7,216,0.0128,0.0342
a_type,place,200,1,11,2,186,0.005,0.055
a_type,number,153,0,2,3,148,0.0,0.0131
a_type,organization,88,2,4,4,78,0.0227,0.0455
a_type,title,66,0,2,1,63,0.0,0.0303
a_type,event,12,0,2,0,10,0.0,0.1667
q_type,who,861,7,11,14,829,0.0081,0.0128
q_type,when,426,9,7,4,406,0.0211,0.0164
q_type,what,324,4,8,5,307,0.0123,0.0247
q_type,where,172,0,7,2,163,0.0,0.0407
q_type,how,121,0,1,3,117,0.0,0.0083
q_type,which,54,0,3,3,48,0.0,0.0556
q_type,other,40,0,3,2,35,0.0,0.075
q_type,why,2,0,0,0,2,0.0,0.0
specificity,single,1802,17,35,25,1725,0.0094,0.0194
specificity,multiple_valid,198,3,5,8,182,0.0152,0.0253
topic,pop_culture,874,5,7,7,855,0.0057,0.008
topic,history,282,4,8,5,265,0.0142,0.0284
topic,sports,258,7,6,7,238,0.0271,0.0233
topic,science,188,3,9,7,169,0.016,0.0479
topic,politics,133,0,5,3,125,0.0,0.0376
topic,other,107,1,2,2,102,0.0093,0.0187
topic,geography,91,0,3,2,86,0.0,0.033
topic,literature,67,0,0,0,67,0.0,0.0
