field,value,n,p_rp,p_sft,gap_pp
a_type,person,820,0.0195,0.0183,0.12
a_type,date,427,0.0328,0.0281,0.47
a_type,other,234,0.0427,0.0641,-2.14
a_type,place,200,0.015,0.065,-5.0
a_type,number,153,0.0196,0.0327,-1.31
a_type,organization,88,0.0682,0.0909,-2.27
a_type,title,66,0.0152,0.0455,-3.03
a_type,event,12,0.0,0.1667,-16.67
q_type,who,861,0.0244,0.029,-0.46
q_type,when,426,0.0305,0.0258,0.47
q_type,what,324,0.0278,0.0401,-1.23
q_type,where,172,0.0116,0.0523,-4.07
q_type,how,121,0.0248,0.0331,-0.83
q_type,which,54,0.0556,0.1111,-5.56
q_type,other,40,0.05,0.125,-7.5
q_type,why,2,0.0,0.0,0.0
specificity,single,1802,0.0233,0.0333,-1.0
specificity,multiple_valid,198,0.0556,0.0657,-1.01
topic,pop_culture,874,0.0137,0.016,-0.23
topic,history,282,0.0319,0.0461,-1.42
topic,sports,258,0.0543,0.0504,0.39
topic,science,188,0.0532,0.0851,-3.19
topic,politics,133,0.0226,0.0602,-3.76
topic,other,107,0.028,0.0374,-0.93
topic,geography,91,0.022,0.0549,-3.3
topic,literature,67,0.0,0.0,0.0
