field,value,n,rp_only,sft_only,both,neither,rp_only_frac,sft_only_frac
a_type,person,820,14,9,18,779,0.0171,0.011
a_type,date,427,7,7,1,412,0.0164,0.0164
a_type,other,234,11,11,9,203,0.047,0.047
a_type,place,200,8,2,12,178,0.04,0.01
a_type,number,153,6,4,3,140,0.0392,0.0261
a_type,organization,88,8,1,6,73,0.0909,0.0114
a_type,title,66,2,1,3,60,0.0303,0.0152
a_type,event,12,0,1,0,11,0.0,0.0833
q_type,who,861,23,10,20,808,0.0267,0.0116
q_type,when,426,7,7,1,411,0.0164,0.0164
q_type,what,324,14,11,9,290,0.0432,0.034
q_type,where,172,4,3,6,159,0.0233,0.0174
q_type,how,121,5,2,3,111,0.0413,0.0165
q_type,which,54,1,2,6,45,0.0185,0.037
q_type,other,40,2,1,7,30,0.05,0.025
q_type,why,2,0,0,0,2,0.0,0.0
specificity,single,1802,47,31,44,1680,0.0261,0.0172
specificity,multiple_valid,198,9,5,8,176,0.0455,0.0253
topic,pop_culture,874,9,10,13,842,0.0103,0.0114
topic,history,282,12,5,7,258,0.0426,0.0177
topic,sports,258,11,6,9,232,0.0426,0.0233
topic,science,188,9,8,10,161,0.0479,0.0426
topic,politics,133,6,3,3,121,0.0451,0.0226
topic,other,107,3,2,4,98,0.028,0.0187
topic,geography,91,4,2,6,79,0.044,0.022
topic,literature,67,2,0,0,65,0.0299,0.0
