field,value,n,p_rp,p_sft,gap_pp
a_type,person,820,0.0207,0.0159,0.49
a_type,date,427,0.0117,0.0187,-0.7
a_type,other,234,0.0598,0.0769,-1.71
a_type,place,200,0.1,0.06,4.0
a_type,number,153,0.0261,0.0327,-0.65
a_type,organization,88,0.0455,0.0227,2.27
a_type,title,66,0.0606,0.0,6.06
a_type,event,12,0.0,0.0,0.0
q_type,who,861,0.0256,0.0174,0.81
q_type,when,426,0.0117,0.0164,-0.47
q_type,what,324,0.0463,0.0401,0.62
q_type,where,172,0.0872,0.064,2.33
q_type,how,121,0.0331,0.0331,0.0
q_type,which,54,0.037,0.0556,-1.85
q_type,other,40,0.125,0.125,0.0
q_type,why,2,0.0,0.0,0.0
specificity,single,1802,0.0272,0.0261,0.11
specificity,multiple_valid,198,0.096,0.0556,4.04
topic,pop_culture,874,0.0206,0.0172,0.34
topic,history,282,0.0248,0.0319,-0.71
topic,sports,258,0.0194,0.0078,1.16
topic,science,188,0.1011,0.1011,0.0
topic,politics,133,0.0226,0.0226,0.0
topic,other,107,0.0748,0.0561,1.87
topic,geography,91,0.0879,0.044,4.4
topic,literature,67,0.0,0.0,0.0
